STT,Vị trí đo đạc,Mẫu,Tọa độ,Ký hiệu mẫu
1,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long",PM2.5 (24h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.PM2.5.01
2,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long ",PM10 (24h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.PM10.01
3,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long",VOCs (7h-9h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.VOCs.01
4,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long",VOCs (14h30-16h30),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.VOCs.02
5,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long ",VOCs (20h-22h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.VOCs.03
9,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",PM 2.5 (24h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.PM2.5.01
10,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",PM 10 (24h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.PM10.01
11,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",VOCs (7h-9h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.VOCs.01
12,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",VOCs (14h30-16h30),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.VOCs.02
13,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",VOCs (20h-22h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.VOCs.03
17,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",PM2.5 (24h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.PM2.5.01
18,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",PM10 (24h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.PM10.01
19,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",VOCs (7h-9h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.VOCs.01
20,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",VOCs (14h30-16h30),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.VOCs.02
21,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",VOCs (20h-22h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.VOCs.03
22,"Công viên Nam Hòa, Đường Lê Lai, P. Lê lợi, TP Hưng Yên",VOCs (7h-9h),"N:20º39’10.895’’, E:106º3’20.596’’",HY.VT01.1007.VOCs.01
23,"Công viên Nam Hòa, Đường Lê Lai, P. Lê lợi, TP Hưng Yên",VOCs (14h30-16h30),"N:20º39’10.895’’, E:106º3’20.596’’",HY.VT01.1007.VOCs.02
24,"Công viên Nam Hòa, Đường Lê Lai, P. Lê lợi, TP Hưng Yên",VOCs (20h-22h),"N:20º39’10.895’’, E:106º3’20.596’’",HY.VT01.1007.VOCs.03
25,"Công viên Nam Hòa, Đường Lê Lai, P. Lê lợi, TP Hưng Yên",PM10 (24h),"N:20º39’10.895’’, E:106º3’20.596’’",HY.VT01.1007.PM10.01
26,"Công viên Nam Hòa, Đường Lê Lai, P. Lê lợi, TP Hưng Yên",PM2.5 (24h),"N:20º39’10.895’’, E:106º3’20.596’’",HY.VT01.1007.PM2.5.01
27,"Nhà dân số 56 Nguyễn Đức Cảnh, phường An Tảo, TP. Hưng Yên",VOCs (7h-9h),"N:20º40’18.882’’, E:106º3’34.553’’",HY.VT02.1007.VOCs.01
28,"Nhà dân số 56 Nguyễn Đức Cảnh, phường An Tảo, TP. Hưng Yên",VOCs (14h30-16h30h),"N:20º40’18.882’’, E:106º3’34.553’’",HY.VT02.1007.VOCs.02
29,"Nhà dân số 56 Nguyễn Đức Cảnh, phường An Tảo, TP. Hưng Yên",VOCs (20h-22h),"N:20º40’18.882’’, E:106º3’34.553’’",HY.VT02.1007.VOCs.03
30,"Nhà dân số 56 Nguyễn Đức Cảnh, phường An Tảo, TP. Hưng Yên",PM10 (24h),"N:20º40’18.882’’, E:106º3’34.553’’",HY.VT02.1007.PM10.01
31,"Nhà dân số 56 Nguyễn Đức Cảnh, phường An Tảo, TP. Hưng Yên",PM2.5 (24h),"N:20º40’18.882’’, E:106º3’34.553’’",HY.VT02.1007.PM2.5.01
32,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",VOCs (7h-9h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.VOCs.01
33,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",VOCs (14h30-16h30h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.VOCs.02
34,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",VOCs (20h-22h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.VOCs.03
35,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",PM10 (24h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.PM10.01
36,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",PM2.5 (24h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.PM2.5.01
37,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",VOCs (7h-9h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.VOCs.01
38,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",VOCs (14h30-16h30h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.VOCs.02
39,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",VOCs (20h-22h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.VOCs.03
40,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",PM10 (24h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.PM10.01
41,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",PM2.5 (24h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.PM2.5.01
42,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",VOCs (7h-9h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.VOCs.01
43,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",VOCs (14h30-16h30h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.VOCs.02
44,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",VOCs (20h-22h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.VOCs.03
45,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",PM10 (24h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.PM10.01
46,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",PM2.5 (24h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.PM2.5.01
47,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",VOCs (7h-9h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.VOCs.01
48,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",VOCs (14h30-16h30h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.VOCs.02
49,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",VOCs (20h-22h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.VOCs.03
50,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",PM10 (24h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.PM10.01
51,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",PM2.5 (24h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.PM2.5.01
